debate_audio_id,n_words_expected,n_words_aligned,n_turns_aligned,duration_sec
1003,15280,15320,173,5298.8
1004,16183,16248,143,5595.3
1006,17292,17165,245,5404.2
1010,16500,16526,136,5495.4
1011,16344,16426,166,6914.2
1013,15983,15957,231,5593.2
1014,15115,15145,151,5617.0
1015,14879,14897,141,5350.7
1017,16389,16424,164,5820.8
1018,15396,15409,118,5368.9
1021,15919,15894,145,5605.1
1022,15264,15268,170,5400.8
1023,16811,16687,207,5478.4
1025,18039,17903,266,5886.6
1026,17088,16913,202,5571.6
1027,16716,16943,310,5937.8
1029,16182,16378,296,5629.4
1030,16558,16765,336,5609.2
1031,19161,18900,857,7459.6
1033,18207,18033,354,7155.0
