debate_audio_id,n_turns,n_words,wav_present,status
1001,161,15531,True,ready
1002,0,0,True,no_transcript
1003,173,15280,True,ready
1004,143,16183,True,ready
1005,0,0,True,no_transcript
1006,245,17292,True,ready
1007,206,17558,True,ready
1008,143,16709,True,ready
1009,0,0,True,no_transcript
1010,136,16500,True,ready
1011,166,16344,True,ready
1012,0,0,True,no_transcript
1013,231,15983,True,ready
1014,151,15115,True,ready
1015,141,14879,True,ready
1016,0,0,True,no_transcript
1017,164,16389,True,ready
1018,118,15396,True,ready
1019,378,32571,True,ready
1020,0,0,True,no_transcript
1021,145,15919,True,ready
1022,170,15264,True,ready
1023,207,16811,True,ready
1024,0,0,True,no_transcript
1025,266,18039,True,ready
1026,202,17088,True,ready
1027,310,16716,True,ready
1028,0,0,True,no_transcript
1029,296,16182,True,ready
1030,336,16558,True,ready
1031,857,19161,True,ready
1032,0,0,True,no_transcript
1033,354,18207,True,ready
1034,180,17415,True,ready
1035,0,0,True,no_transcript
1036,229,17044,True,ready
