debate_audio_id,turn_id,speaker_raw,word,start_sec,end_sec
1003,1003_t0001,SHAW,on,9.12,9.55
1003,1003_t0001,SHAW,behalf,10.69,11.09
1003,1003_t0001,SHAW,of,11.09,11.2
1003,1003_t0001,SHAW,the,11.2,11.37
1003,1003_t0001,SHAW,commission,11.37,11.82
1003,1003_t0001,SHAW,on,11.82,12.02
1003,1003_t0001,SHAW,presidential,12.02,12.67
1003,1003_t0001,SHAW,debates,12.67,13.33
1003,1003_t0001,SHAW,i,13.58,13.79
1003,1003_t0001,SHAW,am,13.79,14.0
1003,1003_t0001,SHAW,pleased,14.0,14.59
1003,1003_t0001,SHAW,to,14.59,14.68
1003,1003_t0001,SHAW,welcome,14.68,15.03
1003,1003_t0001,SHAW,you,15.03,15.28
1003,1003_t0001,SHAW,to,15.28,15.42
1003,1003_t0001,SHAW,the,15.42,15.53
1003,1003_t0001,SHAW,second,15.53,16.08
1003,1003_t0001,SHAW,presidential,16.22,16.74
1003,1003_t0001,SHAW,debate,16.74,17.11
1003,1003_t0001,SHAW,i,17.91,18.06
1003,1003_t0001,SHAW,am,18.06,18.36
1003,1003_t0001,SHAW,bernard,18.36,18.76
1003,1003_t0001,SHAW,shaw,18.76,19.17
1003,1003_t0001,SHAW,of,19.17,19.37
1003,1003_t0001,SHAW,cnn,19.37,19.88
1003,1003_t0001,SHAW,cable,20.35,20.57
1003,1003_t0001,SHAW,news,20.57,20.81
1003,1003_t0001,SHAW,network,20.81,21.16
1003,1003_t0001,SHAW,my,21.85,22.0
1003,1003_t0001,SHAW,colleagues,22.0,22.47
1003,1003_t0001,SHAW,on,22.47,22.59
1003,1003_t0001,SHAW,the,22.59,22.68
1003,1003_t0001,SHAW,panel,22.68,23.07
1003,1003_t0001,SHAW,are,23.07,23.33
1003,1003_t0001,SHAW,ann,23.67,24.01
1003,1003_t0001,SHAW,compton,24.01,24.56
1003,1003_t0001,SHAW,of,24.74,24.87
1003,1003_t0001,SHAW,abc,24.87,25.39
1003,1003_t0001,SHAW,news,25.39,25.94
1003,1003_t0001,SHAW,margaret,26.91,27.44
1003,1003_t0001,SHAW,warner,27.44,27.89
1003,1003_t0001,SHAW,of,28.42,28.59
1003,1003_t0001,SHAW,newsweek,28.59,29.14
1003,1003_t0001,SHAW,magazine,29.14,29.77
1003,1003_t0001,SHAW,and,30.47,30.92
1003,1003_t0001,SHAW,andrea,31.44,31.87
1003,1003_t0001,SHAW,mitchell,31.87,32.31
1003,1003_t0001,SHAW,of,32.63,32.8
1003,1003_t0001,SHAW,nbc,32.8,33.38
1003,1003_t0001,SHAW,news,33.38,33.97
1003,1003_t0001,SHAW,the,34.58,34.67
1003,1003_t0001,SHAW,candidates,34.67,35.26
1003,1003_t0001,SHAW,are,35.26,35.71
1003,1003_t0001,SHAW,vice,38.29,38.54
1003,1003_t0001,SHAW,president,38.54,39.02
1003,1003_t0001,SHAW,george,39.02,39.33
1003,1003_t0001,SHAW,bush,39.33,39.44
1003,1003_t0001,SHAW,the,39.44,39.51
1003,1003_t0001,SHAW,republican,39.51,40.65
1003,1003_t0001,SHAW,nominee,40.65,40.83
1003,1003_t0001,SHAW,and,40.86,40.95
1003,1003_t0001,SHAW,governor,40.95,41.2
1003,1003_t0001,SHAW,michael,41.2,41.35
1003,1003_t0001,SHAW,dukakis,41.35,41.38
1003,1003_t0001,SHAW,the,41.38,41.44
1003,1003_t0001,SHAW,democratic,41.44,71.55
1003,1003_t0001,SHAW,nominee,71.55,71.83
1003,1003_t0002,SHAW,for,71.83,71.89
1003,1003_t0002,SHAW,the,71.89,72.01
1003,1003_t0002,SHAW,next,72.01,72.35
1003,1003_t0002,SHAW,90,72.35,72.76
1003,1003_t0002,SHAW,minutes,72.76,72.94
1003,1003_t0002,SHAW,we,72.94,73.0
1003,1003_t0002,SHAW,will,73.0,73.07
1003,1003_t0002,SHAW,be,73.07,73.19
1003,1003_t0002,SHAW,questioning,73.19,73.81
1003,1003_t0002,SHAW,the,73.81,73.89
1003,1003_t0002,SHAW,candidates,73.89,74.55
1003,1003_t0002,SHAW,following,74.55,75.03
1003,1003_t0002,SHAW,a,75.03,75.09
1003,1003_t0002,SHAW,format,75.09,75.76
1003,1003_t0002,SHAW,designed,75.76,76.28
1003,1003_t0002,SHAW,and,76.28,76.39
1003,1003_t0002,SHAW,agreed,76.39,76.79
1003,1003_t0002,SHAW,to,76.79,77.27
1003,1003_t0002,SHAW,by,77.61,77.73
1003,1003_t0002,SHAW,representatives,77.73,78.58
1003,1003_t0002,SHAW,of,78.58,78.71
1003,1003_t0002,SHAW,the,78.71,78.77
1003,1003_t0002,SHAW,two,78.77,79.03
1003,1003_t0002,SHAW,campaigns,79.03,79.88
1003,1003_t0002,SHAW,however,80.03,80.53
1003,1003_t0002,SHAW,there,81.5,81.81
1003,1003_t0002,SHAW,are,81.81,82.04
