debate_audio_id,status,n_words,n_words_matched,match_rate_pct,n_turns,n_sentences
1001,ok,15531,13839,89.1,161,1029
1003,ok,15280,14251,93.3,173,960
1004,ok,16220,14999,92.5,143,1105
1006,ok,17341,15580,89.8,245,1266
1007,ok,17558,15554,88.6,206,1226
1008,ok,16709,14763,88.4,143,1179
1010,ok,16500,14968,90.7,136,1237
1011,ok,16344,15101,92.4,166,1128
1013,ok,15983,14756,92.3,231,1141
1014,ok,15115,13893,91.9,151,1101
1015,ok,14879,13623,91.6,141,1168
1017,ok,16389,15011,91.6,164,1338
1018,ok,15396,14253,92.6,118,1169
1019,ok,16294,14852,91.2,189,1019
1021,ok,15919,14717,92.4,145,967
1022,ok,15264,13988,91.6,170,975
1023,ok,16811,15075,89.7,207,1133
1025,ok,18039,16158,89.6,266,1343
1026,ok,17088,15490,90.6,202,1117
1027,ok,16716,15043,90.0,310,1423
1029,ok,16182,14764,91.2,296,1360
1030,ok,16558,15096,91.2,336,1398
1031,ok,19161,15777,82.3,857,2415
1033,ok,18207,12697,69.7,354,1566
1034,ok,17415,897,5.2,180,1445
1036,ok,17044,944,5.5,229,1509
