debate_audio_id,turn_id,speaker_raw,n_words,n_words_matched,start_sec,end_sec,duration_sec,text
1001,1001_t0001,LEHRER,103,93,9.349,78.016,68.667,"Good evening. On behalf of the Commission on Presidential Debates I am pleased to welcome you to this first presidential debate of the 1988 campaign. I’m Jim Lehrer of the McNeil-Lehrer News Hour. My colleagues on the panel are John Mashek of The Atlanta Journal-Constitution; Ann Groer of The Orlando Sentinel; and Peter Jennings of ABC News. For the next 90 minutes we will be questioning the candidates for president of the United States following a format designed and agreed to by representatives of the two candidates. The candidates are Vice President George Bush, the Republican nominee; Governor Michael Dukakis, the Democratic nominee."
1001,1001_t0002,LEHRER,73,73,89.883,123.773,33.89,"Our questions this evening will be about equally divided between foreign and domestic policy matters. The first question by agreement between the two candidates goes to Vice President Bush. It is a domestic question. You have two minutes for an answer, sir. The polls say the number one domestic issue to a majority of voters is drugs. What is there about these times that drives or draws so many Americans to use drugs?"
1001,1001_t0003,BUSH,302,289,126.516,246.389,119.873,"I think we’ve seen a deterioration of values. I think for a while as a nation we condoned those things we should have condemned. For a while, as I recall, it even seems to me that there was talk of legalizing or decriminalizing marijuana and other drugs, and I think that’s all wrong. So we’ve seen a deterioration in values, and one of the things that I think we should do about it in terms of cause is to instill values into the young people in our schools. We got away, we got into this feeling that value- free education was the thing. And I don’t believe that at all I do believe there are fundamental rights and wrongs as far as use. And, of course, as far as the how we make it better, yes, we can do better on interdiction. But we’ve got to do a lot better on education, and we have to do, be tougher on those who commit crimes. We’ve got to get after the users more. We have to change this whole culture. You know, I saw a movie – “Crocodile Dundee.” And I saw the cocaine scene treated with humor, as though this was a humorous little incident. And it’s bad. Everybody ought to be in this thing. Entertainment industry, people involved in the schools, education. And it isn’t a Republican or a Democrat or a liberal problem. But we have got to instill values in these young people. And I have put forward a many-point drug program that includes what I would do as president of the United States; in terms of doing better on interdiction; and in terms of better in the neighborhoods. But I think we’re all in this together, and my plea to the American people is values in the schools."
1001,1001_t0004,LEHRER,7,7,248.13,249.712,1.582,"Governor, you have one minute to respond."
1001,1001_t0005,DUKAKIS,196,182,250.172,312.808,62.636,"I agree with Mr. Bush that values are important. But it’s important that our leaders demonstrate those values from the top. That means those of us who are elected to positions of political leadership have to reflect those values ourselves. Here we are with a government that’s been dealing with a drug-running Panamanian dictator. We’ve been dealing with him; he’s been dealing drugs to our kids. Governors like me and others have been trying to deal with the consequences. I remember being in a high school in my own state as we were organizing something we call the Governor’s Alliance Against Drugs, and a young 16 year old girl coming up to me, desperate, addicted, dependent, saying, Governor, I need help. We’re providing that young woman with help. But I want to be a president of the United States who makes sure that we never again do business with a drug-running Panamanian dictator, that we never again funnel aid to the contras through convicted drug dealers. Values begin at the top, in the White House. Those are the values I want to bring to the presidency and to the White House beginning in January of 1989."
1001,1001_t0006,LEHRER,30,30,313.789,323.231,9.442,"Governor, a follow-up question. You have two minutes to answer it. Are you suggesting, sir, that President Reagan is one of the causes of the drug problem in this country?"
1001,1001_t0007,DUKAKIS,242,204,323.971,392.644,68.673,"I’m saying that those of us who are elected to positions of political leadership, Jim, have a special responsibility, not only to come up with programs, and I have outlined in detail the very important, very strong program of enforcement as well as drug education prevention. And Mr. Bush is right – the two go hand in hand. But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don’t understand that that sends out a very, very bad message to our young people, it’s a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you. Now, I’ve outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January when we bring our democratic neighbors and allies together here in this hemisphere and go to work together. But we also have to take demand seriously. You know, we have five percent of the world’s population in this country. We’re consuming 50 percent of the world’s cocaine. Doing better in the neighborhoods. But I think we’re all in this together, and my plea to the American people is values in the schools."
1001,1001_t0008,LEHRER,7,0,392.644,392.648,0.003,"Governor, you have one minute to respond."
1001,1001_t0009,DUKAKIS,196,0,392.648,392.755,0.107,"I agree with Mr. Bush that values are important. But it’s important that our leaders demonstrate those values from the top. That means those of us who are elected to positions of political leadership have to reflect those values ourselves. Here we are with a government that’s been dealing with a drug-running Panamanian dictator. We’ve been dealing with him; he’s been dealing drugs to our kids. Governors like me and others have been trying to deal with the consequences. I remember being in a high school in my own state as we were organizing something we call the Governor’s Alliance Against Drugs, and a young 16 year old girl coming up to me, desperate, addicted, dependent, saying, Governor, I need help. We’re providing that young woman with help. But I want to be a president of the United States who makes sure that we never again do business with a drug-running Panamanian dictator, that we never again funnel aid to the contras through convicted drug dealers. Values begin at the top, in the White House. Those are the values I want to bring to the presidency and to the White House beginning in January of 1989."
1001,1001_t0010,LEHRER,30,0,392.755,392.771,0.016,"Governor, a follow-up question. You have two minutes to answer it. Are you suggesting, sir, that President Reagan is one of the causes of the drug problem in this country?"
