unit_id,speaker,text,Annotator 1 - Phase A (DAMSL),Annotator 1 - Phase A notes,Annotator 1 - Phase B (Beads),Annotator 1 - Phase B notes,Annotator 2 - Phase A (DAMSL),Annotator 2 - Phase A notes,Annotator 2 - Phase B (Beads),Annotator 2 - Phase B notes,Annotator 3 - Phase A (DAMSL),Annotator 3 - Phase A notes,Annotator 3 - Phase B (Beads),Annotator 3 - Phase B notes
1,MODERATOR,Good evening from the Clark Athletic Center at the University of Massachusetts in Boston.,S; GR,,,,S; GR,,,,S; GR,,,
2,MODERATOR,"I’m Jim Lehrer of the NewsHour on PBS, and I welcome you to the first of three 90-minute debates between the Democratic candidate for president, Vice President Al Gore and the Republican candidate, Governor George W.",S; GR; S-Inform,,,,S; GR; S-Inform,,,,S; GR; S-Inform,,,
3,MODERATOR,Bush of Texas.,S,,,,S,,,,S,,,
4,MODERATOR,The debates are sponsored by the Commission on Presidential Debates and they will be conducted within formats and rules agreed to between the commission and the two campaigns.,S,,,,S,,,,S,,,
5,MODERATOR,We’ll have the candidates at podiums.,S,,,,S,,,,S,,,
6,MODERATOR,No answer to a question can exceed two minutes.,S; REJ; ANS,,,,S; REJ; ANS,,,,S; REJ; ANS,,,
7,MODERATOR,Rebuttal is limited to one minute.,S,,,,S,,,,S,,,
8,MODERATOR,But as moderator I have the option to follow up and to extend any particular give and take another three-and-a-half minutes.,S,,,,S,,,,S,,,
9,MODERATOR,"Even then, no single answer can exceed two minutes.",S,,,,S,,,,S,,,
10,MODERATOR,The candidates under their rules may not question each other directly.,S,,,,S,,,,S,,,
11,MODERATOR,"There will be no opening statements, but each candidate may have up to two minutes for a closing statement.",S,,,,S,,,,S,,,
12,MODERATOR,The questions and the subjects were chosen by me alone.,S,,,,S,,,,S,,,
13,MODERATOR,"I have told no one from the two campaigns, or the Commission, or anyone else involved what they are.",S,,,,S,,,,S,,,
14,MODERATOR,There is a small audience in the hall tonight.,IAFA,,,,IAFA,,,,IAFA,,,
15,MODERATOR,"They are not here to participate, only to listen.",S,,,,S,,,,S,,,
16,MODERATOR,"I have asked, and they have agreed, to remain silent for the next 90 minutes.",S; S-Inform,,,,S; S-Inform,,,,S; S-Inform,,,
