unit_id,speaker,text,Annotator 1 - Phase A (DAMSL),Annotator 1 - Phase A notes,Annotator 1 - Phase B (Beads),Annotator 1 - Phase B notes,Annotator 2 - Phase A (DAMSL),Annotator 2 - Phase A notes,Annotator 2 - Phase B (Beads),Annotator 2 - Phase B notes,Annotator 3 - Phase A (DAMSL),Annotator 3 - Phase A notes,Annotator 3 - Phase B (Beads),Annotator 3 - Phase B notes
1,MODERATORS,Anderson Cooper and Martha Raddatz,,,,,,,,,,,,
2,RADDATZ,Good evening.,GR,,,,GR,,,,GR,,,
3,RADDATZ,I’m Martha Raddatz from ABC News.,S,,,,S,,,,S,,,
4,COOPER,And I’m Anderson Cooper from CNN.,S,,,,S,,,,S,,,
5,COOPER,We want to welcome you to Washington University in St.,GR,,,,GR,,,,GR,,,
6,COOPER,"Louis for the second presidential debate between Hillary Clinton and Donald Trump, sponsored by the Commission on Presidential Debates.",S; GR,,,,S; GR,,,,S; GR,,,
7,COOPER,"Tonight’s debate is a town hall format, which gives voters a chance to directly ask the candidates questions.",S,,,,S,,,,S,,,
8,COOPER,"Martha and I will ask follow-up questions but the night really belongs to the people in this room, and to people across the country who have submitted questions online.",S,,,,S,,,,S,,,
9,RADDATZ,The people you see on this stage were chosen by the Gallup Organization.,S,,,,S,,,,S,,,
10,RADDATZ,They are all from the St.,S,,,,S,,,,S,,,
11,RADDATZ,Louis area and told Gallup they haven’t committed to a candidate.,S,,,,S,,,,S,,,
12,RADDATZ,"Each of them came here with questions they wanted to ask, and we saw those questions for the first time this morning.",S,,,,S,,,,S,,,
13,RADDATZ,Anderson and I and our team from ABC and CNN are the only ones who have seen them.,S,,,,S,,,,S,,,
14,RADDATZ,Both candidates will have two minutes to answer each audience and online question.,S-Inform,,,,S-Inform,,,,S-Inform,,,
15,RADDATZ,"We hope to get to as many questions as we can, so we’ve asked the audience here not to slow things down with any applause.",S; IAFA,,,,S; IAFA,,,,S; IAFA,,,
16,RADDATZ,Except for now.,S,,,,S,,,,S,,,
17,RADDATZ,"Ladies and gentlemen the Republican nominee for president, Donald J.",S,,,,S,,,,S,,,
18,RADDATZ,"Trump, and the Democratic nominee for president, Hillary Clinton.",S,,,,S,,,,S,,,
19,COOPER,Thank you very much for being here.,GR; THK,,,,GR; THK,,,,GR; THK,,,
20,COOPER,We’re going to begin with a question from one of the members in our town hall.,S,,,,S,,,,S,,,
21,COOPER,Each of you will have two minutes to respond to this question.,S-Inform,,,,S-Inform,,,,S-Inform,,,
22,COOPER,"Secretary Clinton, you won the coin toss, so you’ll go first.",S,,,,S,,,,S,,,
23,COOPER,Our first question comes from Patrice Brock.,S,,,,S,,,,S,,,
24,COOPER,Patrice?,TG,,,,TG,,,,TG,,,
25,QUESTION,"Thank you, and good evening.",GR; THK,,,,GR; THK,,,,GR; THK,,,
26,QUESTION,"The last presidential debate could have been rated as MA, mature audiences, per TV parental guidelines.",S-Inform,,,,S-Inform,,,,S-Inform,,,
27,QUESTION,"Knowing that educators assign viewing the presidential debates as students’ homework, do you feel you’re modeling appropriate and positive behavior for today’s youth?",YNQ,,AE,,YNQ,,AE,,YNQ,,AE,
28,CLINTON,"Well, thank you.",THK,,,,THK,,,,THK,,,
29,CLINTON,Are you a teacher?,YNQ,,,,YNQ,,,,YNQ,,,
30,CLINTON,"Yes, I think that that’s a very good question, because I’ve heard from lots of teachers and parents about some of their concerns about some of the things that are being said and done in this campaign.",S; ANS,,AE; IP,,S; ANS,,AE; IP,,S; ANS,,AE; IP,
31,CLINTON,And I think it is very important for us to make clear to our children that our country really is great because we’re good.,S,,AP; UF; IP,,S,,AP; UF; IP,,S,,AP; UF; IP,
32,CLINTON,"And we are going to respect one another, lift each other up.",S,,UF,,S,,UF,,S,,UF,
33,CLINTON,"We are going to be looking for ways to celebrate our diversity, and we are going to try to reach out to every boy and girl, as well as every adult, to bring them in to working on behalf of our country.",S,,AE; UF,,S,,AE; UF,,S,,AE; UF,
34,CLINTON,I have a very positive and optimistic view about what we can do together.,S; IAFA-OF,,UF; IP,,S; IAFA-OF,,UF; IP,,S; IAFA-OF,,UF; IP,
35,CLINTON,"That’s why the slogan of my campaign is “Stronger Together,” because I think if we work together, if we overcome the divisiveness that sometimes sets Americans against one another, and instead we make some big goals—and I’ve set forth some big goals, getting the economy to work for everyone, not just those at the top, making sure that we have the best education system from preschool through college and making it affordable, and so much else.",S; EXPL,,UF; IP,,S; EXPL,,UF; IP,,S; EXPL,,UF; IP,
36,CLINTON,"If we set those goals and we go together to try to achieve them, there’s nothing in my opinion that America can’t do.",S,,AP; UF; IP,,S,,AP; UF; IP,,S,,AP; UF; IP,
37,CLINTON,So that’s why I hope that we will come together in this campaign.,S,,UF,,S,,UF,,S,,UF,
38,CLINTON,"Obviously, I’m hoping to earn your vote, I’m hoping to be elected in November, and I can promise you, I will work with every American.",S,,UF; IP,,S,,UF; IP,,S,,UF; IP,
39,CLINTON,"I want to be the president for all Americans, regardless of your political beliefs, where you come from, what you look like, your religion.",S,,UF; IP,,S,,UF; IP,,S,,UF; IP,
40,CLINTON,"I want us to heal our country and bring it together because that’s, I think, the best way for us to get the future that our children and our grandchildren deserve.",S,,AE; UF; IP,,S,,AE; UF; IP,,S,,AE; UF; IP,
41,COOPER,"Secretary Clinton, thank you.",THK,,,,THK,,,,THK,,,
42,COOPER,Mr.,TG,,,,TG,,,,TG,,,
43,COOPER,"Trump, you have two minutes.",TG,,,,TG,,,,TG,,,
