debate_audio_id,pyannote_cluster,rank_by_duration,total_sec_in_window,minutes,suggested_role,suggested_speaker,verified,final_speaker,final_role
1034,SPEAKER_32,1,1381.5,23.02,candidate,Joe Biden,,,
1034,SPEAKER_02,2,1130.1,18.84,candidate,Donald Trump,,,
1034,SPEAKER_33,3,1055.5,17.59,moderator,Dana Bash / Jake Tapper,,,
1034,SPEAKER_35,4,482.8,8.05,moderator,Dana Bash / Jake Tapper,,,
1034,SPEAKER_08,5,317.9,5.3,panelist_or_audience,,,,
1034,SPEAKER_37,6,280.7,4.68,panelist_or_audience,,,,
1034,SPEAKER_07,7,149.2,2.49,panelist_or_audience,,,,
1034,SPEAKER_03,8,138.6,2.31,panelist_or_audience,,,,
1034,SPEAKER_27,9,110.4,1.84,panelist_or_audience,,,,
1034,SPEAKER_20,10,98.3,1.64,panelist_or_audience,,,,
1034,SPEAKER_31,11,94.9,1.58,panelist_or_audience,,,,
1034,SPEAKER_28,12,90.6,1.51,panelist_or_audience,,,,
1034,SPEAKER_19,13,86.8,1.45,panelist_or_audience,,,,
1034,SPEAKER_17,14,80.8,1.35,panelist_or_audience,,,,
1034,SPEAKER_24,15,71.9,1.2,panelist_or_audience,,,,
1034,SPEAKER_29,16,71.6,1.19,panelist_or_audience,,,,
1034,SPEAKER_30,17,47.7,0.8,panelist_or_audience,,,,
1034,SPEAKER_26,18,42.1,0.7,panelist_or_audience,,,,
1034,SPEAKER_15,19,40.4,0.67,panelist_or_audience,,,,
1034,SPEAKER_21,20,24.4,0.41,noise_or_skip,,,,
1034,SPEAKER_00,21,23.5,0.39,noise_or_skip,,,,
1034,SPEAKER_06,22,21.7,0.36,noise_or_skip,,,,
1034,SPEAKER_05,23,19.5,0.32,noise_or_skip,,,,
1034,SPEAKER_09,24,19.3,0.32,noise_or_skip,,,,
1034,SPEAKER_11,25,18.3,0.31,noise_or_skip,,,,
1034,SPEAKER_12,26,17.6,0.29,noise_or_skip,,,,
1034,SPEAKER_36,27,17.3,0.29,noise_or_skip,,,,
1034,SPEAKER_01,28,16.0,0.27,noise_or_skip,,,,
1034,SPEAKER_23,29,15.6,0.26,noise_or_skip,,,,
1034,SPEAKER_18,30,14.9,0.25,noise_or_skip,,,,
1034,SPEAKER_13,31,13.9,0.23,noise_or_skip,,,,
1034,SPEAKER_34,32,13.1,0.22,noise_or_skip,,,,
1034,SPEAKER_22,33,13.1,0.22,noise_or_skip,,,,
1034,SPEAKER_25,34,8.9,0.15,noise_or_skip,,,,
1034,SPEAKER_14,35,8.2,0.14,noise_or_skip,,,,
1034,SPEAKER_16,36,6.8,0.11,noise_or_skip,,,,
1036,SPEAKER_13,1,2368.4,39.47,candidate,Kamala Harris,,,
1036,SPEAKER_15,2,2053.3,34.22,candidate,Donald Trump,,,
1036,SPEAKER_32,3,409.6,6.83,moderator,Linsey Davis / David Muir,,,
1036,SPEAKER_26,4,335.4,5.59,moderator,Linsey Davis / David Muir,,,
1036,SPEAKER_27,5,202.4,3.37,panelist_or_audience,,,,
1036,SPEAKER_23,6,99.4,1.66,panelist_or_audience,,,,
1036,SPEAKER_38,7,60.0,1.0,panelist_or_audience,,,,
1036,SPEAKER_48,8,54.2,0.9,panelist_or_audience,,,,
1036,SPEAKER_57,9,52.8,0.88,panelist_or_audience,,,,
1036,SPEAKER_46,10,41.9,0.7,panelist_or_audience,,,,
1036,SPEAKER_62,11,23.2,0.39,noise_or_skip,,,,
1036,SPEAKER_14,12,21.4,0.36,noise_or_skip,,,,
1036,SPEAKER_22,13,21.1,0.35,noise_or_skip,,,,
1036,SPEAKER_24,14,20.1,0.33,noise_or_skip,,,,
1036,SPEAKER_64,15,16.6,0.28,noise_or_skip,,,,
1036,SPEAKER_19,16,16.5,0.28,noise_or_skip,,,,
1036,SPEAKER_63,17,15.6,0.26,noise_or_skip,,,,
1036,SPEAKER_56,18,14.9,0.25,noise_or_skip,,,,
1036,SPEAKER_11,19,13.7,0.23,noise_or_skip,,,,
1036,SPEAKER_30,20,11.6,0.19,noise_or_skip,,,,
1036,SPEAKER_67,21,10.1,0.17,noise_or_skip,,,,
1036,SPEAKER_07,22,9.4,0.16,noise_or_skip,,,,
1036,SPEAKER_29,23,9.2,0.15,noise_or_skip,,,,
1036,SPEAKER_28,24,9.2,0.15,noise_or_skip,,,,
1036,SPEAKER_06,25,9.1,0.15,noise_or_skip,,,,
1036,SPEAKER_61,26,8.2,0.14,noise_or_skip,,,,
1036,SPEAKER_05,27,8.2,0.14,noise_or_skip,,,,
1036,SPEAKER_08,28,7.7,0.13,noise_or_skip,,,,
1036,SPEAKER_03,29,7.3,0.12,noise_or_skip,,,,
1036,SPEAKER_25,30,5.6,0.09,noise_or_skip,,,,
1036,SPEAKER_78,31,1.9,0.03,noise_or_skip,,,,
1036,SPEAKER_00,32,1.6,0.03,noise_or_skip,,,,
1036,SPEAKER_53,33,1.0,0.02,noise_or_skip,,,,
1036,SPEAKER_70,34,0.8,0.01,noise_or_skip,,,,
1036,SPEAKER_52,35,0.1,0.0,noise_or_skip,,,,
