debate_audio_id,debate_id,year,debate_type,debate_number,date,speaker,party,election_winner,winning_party,result
1001,1988P1,1988,Presidential,1,1988-09-25,Michael Dukakis,Democratic,George H. W. Bush,Republican,loser
1001,1988P1,1988,Presidential,1,1988-09-25,George H. W. Bush,Republican,George H. W. Bush,Republican,winner
1002,1988VP1,1988,Vice Presidential,1,1988-10-05,Lloyd Bentsen,Democratic,George H. W. Bush,Republican,loser
1002,1988VP1,1988,Vice Presidential,1,1988-10-05,Dan Quayle,Republican,George H. W. Bush,Republican,winner
1003,1988P2,1988,Presidential,2,1988-10-13,Michael Dukakis,Democratic,George H. W. Bush,Republican,loser
1003,1988P2,1988,Presidential,2,1988-10-13,George H. W. Bush,Republican,George H. W. Bush,Republican,winner
1004,1992P1,1992,Presidential,1,1992-10-11,George H. W. Bush,Republican,Bill Clinton,Democratic,loser
1004,1992P1,1992,Presidential,1,1992-10-11,Ross Perot,Independent,Bill Clinton,Democratic,loser
1004,1992P1,1992,Presidential,1,1992-10-11,Bill Clinton,Democratic,Bill Clinton,Democratic,winner
1005,1992VP1,1992,Vice Presidential,1,1992-10-13,Dan Quayle,Republican,Bill Clinton,Democratic,loser
1005,1992VP1,1992,Vice Presidential,1,1992-10-13,James Stockdale,Independent,Bill Clinton,Democratic,loser
1005,1992VP1,1992,Vice Presidential,1,1992-10-13,Al Gore,Democratic,Bill Clinton,Democratic,winner
1006,1992P2,1992,Presidential,2,1992-10-15,George H. W. Bush,Republican,Bill Clinton,Democratic,loser
1006,1992P2,1992,Presidential,2,1992-10-15,Ross Perot,Independent,Bill Clinton,Democratic,loser
1006,1992P2,1992,Presidential,2,1992-10-15,Bill Clinton,Democratic,Bill Clinton,Democratic,winner
1007,1992P3,1992,Presidential,3,1992-10-19,George H. W. Bush,Republican,Bill Clinton,Democratic,loser
1007,1992P3,1992,Presidential,3,1992-10-19,Ross Perot,Independent,Bill Clinton,Democratic,loser
1007,1992P3,1992,Presidential,3,1992-10-19,Bill Clinton,Democratic,Bill Clinton,Democratic,winner
1008,1996P1,1996,Presidential,1,1996-10-06,Bob Dole,Republican,Bill Clinton,Democratic,loser
1008,1996P1,1996,Presidential,1,1996-10-06,Bill Clinton,Democratic,Bill Clinton,Democratic,winner
1009,1996VP1,1996,Vice Presidential,1,1996-10-09,Jack Kemp,Republican,Bill Clinton,Democratic,loser
1009,1996VP1,1996,Vice Presidential,1,1996-10-09,Al Gore,Democratic,Bill Clinton,Democratic,winner
1010,1996P2,1996,Presidential,2,1996-10-16,Bob Dole,Republican,Bill Clinton,Democratic,loser
1010,1996P2,1996,Presidential,2,1996-10-16,Bill Clinton,Democratic,Bill Clinton,Democratic,winner
1011,2000P1,2000,Presidential,1,2000-10-03,Al Gore,Democratic,George W. Bush,Republican,loser
1011,2000P1,2000,Presidential,1,2000-10-03,George W. Bush,Republican,George W. Bush,Republican,winner
1012,2000VP1,2000,Vice Presidential,1,2000-10-05,Joe Lieberman,Democratic,George W. Bush,Republican,loser
1012,2000VP1,2000,Vice Presidential,1,2000-10-05,Dick Cheney,Republican,George W. Bush,Republican,winner
1013,2000P2,2000,Presidential,2,2000-10-11,Al Gore,Democratic,George W. Bush,Republican,loser
1013,2000P2,2000,Presidential,2,2000-10-11,George W. Bush,Republican,George W. Bush,Republican,winner
1014,2000P3,2000,Presidential,3,2000-10-17,Al Gore,Democratic,George W. Bush,Republican,loser
1014,2000P3,2000,Presidential,3,2000-10-17,George W. Bush,Republican,George W. Bush,Republican,winner
1015,2004P1,2004,Presidential,1,2004-09-30,John Kerry,Democratic,George W. Bush,Republican,loser
1015,2004P1,2004,Presidential,1,2004-09-30,George W. Bush,Republican,George W. Bush,Republican,winner
1016,2004VP1,2004,Vice Presidential,1,2004-10-05,John Edwards,Democratic,George W. Bush,Republican,loser
1016,2004VP1,2004,Vice Presidential,1,2004-10-05,Dick Cheney,Republican,George W. Bush,Republican,winner
