debate_audio_id,turn_id,speaker,party,result,speaker_role,year,debate_type,date,n_sentences,n_words,n_syllables,turn_start_sec,turn_end_sec,speech_duration_sec,total_pause_sec,n_pauses_within_sentences,f0_mean,f0_std,intensity_mean_db,intensity_std_db,jitter_local_mean,shimmer_local_mean,hnr_mean_db,speech_rate_wps_mean,articulation_rate_wps_mean,syllable_rate_per_sec_mean,articulation_rate_syll_per_sec_mean,turn_floor_time_sec,turn_speech_density,pauses_per_100_words,mean_pause_sec_per_turn,turn_speech_rate_wps,turn_syllable_rate_per_sec,turn_articulation_rate_wps,turn_articulation_rate_syll_per_sec
1001,1001_t0001,Lehrer,—,moderator,moderator,1988,Presidential,1988-09-25,6,103,180.0,9.349,78.016,62.684,1.75,4.0,141.697,22.086,68.955,4.849,0.021,0.094,8.102,2.638,2.679,4.168,4.241,68.667,0.913,3.883,0.438,1.5,2.621,1.643,2.872
1001,1001_t0002,Lehrer,—,moderator,moderator,1988,Presidential,1988-09-25,6,73,115.0,89.883,123.773,27.957,1.85,4.0,127.058,13.092,61.067,2.368,0.028,0.105,8.457,2.786,2.889,4.336,4.507,33.89,0.825,5.479,0.463,2.154,3.393,2.611,4.113
1001,1001_t0003,George H. W. Bush,Republican,winner,candidate,1988,Presidential,1988-09-25,19,301,421.0,126.516,246.389,103.898,4.83,17.0,117.744,15.972,63.463,1.896,0.027,0.101,8.754,2.995,3.117,4.112,4.283,119.873,0.867,5.648,0.284,2.511,3.512,2.897,4.052
1001,1001_t0004,Lehrer,—,moderator,moderator,1988,Presidential,1988-09-25,1,7,11.0,248.13,249.712,1.582,0.0,0.0,117.355,,58.722,,0.02,0.118,10.002,4.425,4.425,6.953,6.953,1.582,1.0,0.0,0.0,4.425,6.953,4.425,6.953
1001,1001_t0005,Michael Dukakis,Democratic,loser,candidate,1988,Presidential,1988-09-25,12,196,292.0,250.172,312.808,49.204,3.35,9.0,142.079,11.904,63.575,1.952,0.029,0.106,9.226,3.919,4.137,5.689,5.991,62.636,0.786,4.592,0.372,3.129,4.662,3.983,5.934
1001,1001_t0006,Lehrer,—,moderator,moderator,1988,Presidential,1988-09-25,3,30,46.0,313.789,323.231,8.281,0.0,0.0,128.142,14.214,62.066,3.346,0.022,0.097,10.428,3.805,3.805,6.112,6.112,9.442,0.877,0.0,0.0,3.177,4.872,3.623,5.555
1001,1001_t0007,Michael Dukakis,Democratic,loser,candidate,1988,Presidential,1988-09-25,10,242,359.0,323.971,392.644,57.279,7.23,15.0,156.349,13.769,61.836,2.565,0.025,0.108,8.808,4.328,4.566,76.611,6.078,68.673,0.834,6.198,0.482,3.524,5.228,4.225,6.268
1001,1001_t0008,Lehrer,—,moderator,moderator,1988,Presidential,1988-09-25,1,7,11.0,392.644,392.648,0.0,0.0,0.0,,,,,,,,,,220.0,,0.004,0.0,0.0,0.0,140.0,220.0,140.0,220.0
1001,1001_t0009,Michael Dukakis,Democratic,loser,candidate,1988,Presidential,1988-09-25,12,196,292.0,392.648,392.755,0.0,0.0,0.0,,,,,,,,,,486.667,,0.107,0.0,0.0,0.0,1831.776,2728.972,3920.0,5840.0
1001,1001_t0010,Lehrer,—,moderator,moderator,1988,Presidential,1988-09-25,3,30,46.0,392.755,392.771,0.0,0.0,0.0,,,,,,,,,,306.667,,0.016,0.0,0.0,0.0,600.0,920.0,600.0,920.0
